ranking_date,ranking,player,points
2024-05-27,96,200443,635.0
2024-05-27,97,126610,630.0
2024-05-27,98,104527,628.0
2024-05-27,99,207681,626.0
2024-05-27,100,106423,623.0
2024-05-27,101,109739,622.0
2024-05-27,102,122298,618.0
2024-05-27,103,209414,613.0
2024-05-27,104,200267,611.0
2024-05-27,105,105902,611.0
2024-05-27,106,123755,609.0
2024-05-27,107,200670,585.0
2024-05-27,108,106398,584.0
2024-05-27,109,202058,580.0
2024-05-27,110,200116,580.0
2024-05-27,111,105077,578.0
2024-05-27,112,106296,575.0
2024-05-27,113,106426,563.0
2024-05-27,114,111581,557.0
2024-05-27,115,105676,543.0
2024-05-27,116,200473,543.0
2024-05-27,117,122669,542.0
2024-05-27,118,133430,540.0
2024-05-27,119,127760,535.0
2024-05-27,120,105487,531.0
2024-05-27,121,209279,525.0
2024-05-27,122,208004,522.0
2024-05-27,123,208260,518.0
2024-05-27,124,104755,515.0
2024-05-27,125,109303,512.0
2024-05-27,126,207182,511.0
2024-05-27,127,200240,511.0
2024-05-27,128,106000,505.0
2024-05-27,129,207213,499.0
2024-05-27,130,134457,497.0
2024-05-27,131,106233,496.0
2024-05-27,132,144750,496.0
2024-05-27,133,208169,493.0
2024-05-27,134,208859,493.0
2024-05-27,135,209098,492.0
2024-05-27,136,105062,492.0
2024-05-27,137,200335,490.0
2024-05-27,138,209263,489.0
2024-05-27,139,200514,487.0
2024-05-27,140,105430,462.0
2024-05-27,141,106043,459.0
2024-05-27,142,105732,450.0
2024-05-27,143,208502,443.0
2024-05-27,144,208882,431.0
2024-05-27,145,106075,427.0
2024-05-27,146,208010,424.0
2024-05-27,147,106281,423.0
2024-05-27,148,206748,420.0
2024-05-27,149,133975,418.0
2024-05-27,150,200516,416.0
2024-05-27,151,209857,414.0
2024-05-27,152,133297,403.0
2024-05-27,153,200008,399.0
2024-05-27,154,200436,390.0
2024-05-27,155,105332,388.0
2024-05-27,156,202261,387.0
2024-05-27,157,144642,378.0
2024-05-27,158,127339,376.0
2024-05-27,159,126504,372.0
2024-05-27,160,200259,371.0
2024-05-27,161,106045,370.0
2024-05-27,162,208278,366.0
2024-05-27,163,200484,366.0
2024-05-27,164,106177,365.0
2024-05-27,165,106298,363.0
2024-05-27,166,209113,360.0
2024-05-27,167,106187,359.0
2024-05-27,168,106198,358.0
2024-05-27,169,105477,356.0
2024-05-27,170,131934,355.0
2024-05-27,171,202320,353.0
2024-05-27,172,126127,349.0
2024-05-27,173,208233,349.0
2024-05-27,174,208361,346.0
2024-05-27,175,202195,345.0
2024-05-27,176,207411,344.0
2024-05-27,177,200188,344.0
2024-05-27,178,207678,340.0
2024-05-27,179,102093,340.0
2024-05-27,180,123828,340.0
2024-05-27,181,209409,340.0
2024-05-27,182,111200,337.0
2024-05-27,183,210262,336.0
2024-05-27,184,106310,335.0
2024-05-27,185,126409,332.0
2024-05-27,186,209262,328.0
2024-05-27,187,111460,327.0
2024-05-27,188,144821,327.0
2024-05-27,189,207352,325.0
2024-05-27,190,208279,324.0
2024-05-27,191,111805,320.0
2024-05-27,192,207494,316.0
2024-05-27,193,200572,309.0
2024-05-27,194,144817,308.0
2024-05-27,195,126964,306.0
2024-05-27,196,105683,305.0
2024-05-27,197,106167,305.0
2024-05-27,198,208316,304.0
2024-05-27,199,207608,303.0
2024-05-27,200,117360,303.0
